Product,Total_Revenue,Rank
The Trooper,4.95,1
Branch Closing,3.98,2
Gay Witch Hunt,3.98,2
Hot Girl,3.98,2
How to Stop an Exploding Man,3.98,2
Phyllis's Wedding,3.98,2
Pilot,3.98,2
The Fix,3.98,2
The Woman King,3.98,2
Walkabout,3.98,2
Eruption,3.96,11
Hallowed Be Thy Name,3.96,11
Sure Know Something,3.96,11
The Number Of The Beast,3.96,11
Untitled,3.96,11
2 Minutes To Midnight,2.97,16
Blood Brothers,2.97,16
Brasil,2.97,16
Can I Play With Madness,2.97,16
Dazed and Confused,2.97,16
Flying High Again,2.97,16
Good Golly Miss Molly,2.97,16
Heaven Can Wait,2.97,16
Iron Maiden,2.97,16
Linha Do Equador,2.97,16
Plaster Caster,2.97,16
Release,2.97,16
Sanctuary,2.97,16
Selvagem,2.97,16
Stairway To Heaven,2.97,16
Surrender,2.97,16
Sweetest Thing,2.97,16
Welcome Home (Sanitarium),2.97,16
Where Eagles Dare,2.97,16
"""?""",1.99,35
...And Found,1.99,35
"A Benihana Christmas, Pts. 1 & 2",1.99,35
A Day In the Life,1.99,35
Adrift,1.99,35
Back from Vacation,1.99,35
Baltar's Escape,1.99,35
"Battlestar Galactica, Pt. 1",1.99,35
"Battlestar Galactica, Pt. 2",1.99,35
Better Halves,1.99,35
Born to Run,1.99,35
Catch-22,1.99,35
Christmas Party,1.99,35
Collaborators,1.99,35
Company Man,1.99,35
"Crossroads, Pt. 1",1.99,35
"Crossroads, Pt. 2",1.99,35
Dave,1.99,35
Deus Ex Machina,1.99,35
Distractions,1.99,35
Diversity Day,1.99,35
Diwali,1.99,35
Email Surveillance,1.99,35
Enter 77,1.99,35
Exodus (Part 2) [Season Finale],1.99,35
"Exodus, Pt. 1",1.99,35
"Exodus, Pt. 2",1.99,35
Experiment In Terra,1.99,35
Exposé,1.99,35
Fire + Water,1.99,35
Genesis,1.99,35
"Greetings from Earth, Pt. 1",1.99,35
"Greetings from Earth, Pt. 2",1.99,35
Halloween,1.99,35
Hero,1.99,35
Homecoming,1.99,35
House of the Rising Sun,1.99,35
I Do,1.99,35
Ji Yeon,1.99,35
"Live Together, Die Alone, Pt. 1",1.99,35
"Lost Planet of the Gods, Pt. 1",1.99,35
"Lost Planet of the Gods, Pt. 2",1.99,35
Lost Survival Guide,1.99,35
"Man of Science, Man of Faith (Premiere)",1.99,35
Meet Kevin Johnson,1.99,35
Michael's Birthday,1.99,35
Nothing to Hide,1.99,35
Occupation / Precipice,1.99,35
One Giant Leap,1.99,35
Orientation,1.99,35
Outlaws,1.99,35
Par Avion,1.99,35
Parasite,1.99,35
"Past, Present, and Future",1.99,35
Producer's Cut: The Return,1.99,35
S.O.S.,1.99,35
Safety Training,1.99,35
Seven Minutes to Midnight,1.99,35
Solitary,1.99,35
Something Nice Back Home,1.99,35
Stranger In a Strange Land,1.99,35
Take the Celestra,1.99,35
The 23rd Psalm,1.99,35
The Beginning of the End,1.99,35
The Carpet,1.99,35
The Convention,1.99,35
The Convict,1.99,35
The Coup,1.99,35
The Dundies,1.99,35
The Economist,1.99,35
The Glass Ballerina,1.99,35
"The Gun On Ice Planet Zero, Pt. 1",1.99,35
"The Gun On Ice Planet Zero, Pt. 2",1.99,35
The Hand of God,1.99,35
The Hard Part,1.99,35
The Initiation,1.99,35
The Job,1.99,35
"The Living Legend, Pt. 1",1.99,35
"The Living Legend, Pt. 2",1.99,35
The Long Con,1.99,35
The Long Patrol,1.99,35
The Lost Warrior,1.99,35
The Magnificent Warriors,1.99,35
The Man Behind the Curtain,1.99,35
The Moth,1.99,35
The Other 48 Days,1.99,35
The Passage,1.99,35
The Whole Truth,1.99,35
"There's No Place Like Home, Pt. 3",1.99,35
Through a Looking Glass,1.99,35
"Through the Looking Glass, Pt. 1",1.99,35
Unfinished Business,1.99,35
"War of the Gods, Pt. 2",1.99,35
A Cor Do Sol,1.98,128
A Melhor Forma,1.98,128
A Novidade (Live),1.98,128
"Abraham, Martin And John",1.98,128
Acelerou,1.98,128
Aces High,1.98,128
Afraid To Shoot Strangers,1.98,128
All Along The Watchtower,1.98,128
All I Want Is You,1.98,128
Amor De Muito,1.98,128
Ando Meio Desligado,1.98,128
Animal,1.98,128
As Rosas Não Falam (Beth Carvalho),1.98,128
Azul,1.98,128
Açai,1.98,128
Babylon,1.98,128
Balls to the Wall,1.98,128
Banditismo Por Uma Questa,1.98,128
Basket Case,1.98,128
Battery,1.98,128
Beautiful Boy,1.98,128
Before You Accuse Me,1.98,128
Beira Mar,1.98,128
Believe,1.98,128
Bem Devagar,1.98,128
Better Than You,1.98,128
Big Wave,1.98,128
Binky The Doormat,1.98,128
Black Dog,1.98,128
Blue Rythm Fantasy,1.98,128
Boris The Spider,1.98,128
Bowels Of The Devil,1.98,128
Breakdown,1.98,128
Bron-Y-Aur Stomp,1.98,128
Bullet With Butterfly Wings,1.98,128
Bumbo Da Mangueira,1.98,128
C'est La Vie,1.98,128
Cabeça Dinossauro,1.98,128
Caffeine,1.98,128
Caleidoscópio,1.98,128
Calling Dr. Love,1.98,128
Celebration Day,1.98,128
Chemical Wedding,1.98,128
Cherub Rock,1.98,128
Children Of The Grave,1.98,128
City Of Blinding Lights,1.98,128
Comida,1.98,128
Comin' Home,1.98,128
Commotion,1.98,128
Communication Breakdown,1.98,128
Compadre,1.98,128
Comportamento Geral,1.98,128
Cornucopia,1.98,128
Country Feedback,1.98,128
Dancing Days,1.98,128
Dazed And Confused,1.98,128
Desire,1.98,128
Deuces Are Wild,1.98,128
Dezesseis,1.98,128
Dirty Day,1.98,128
"Dois Pra Lá, Dois Pra Cá",1.98,128
Don't Look Now,1.98,128
Don't Look To The Eyes Of A Stranger,1.98,128
Don't Take Your Love From Me,1.98,128
Down by the Sea,1.98,128
Dream Of Mirrors,1.98,128
Drifter,1.98,128
Drum Boogie,1.98,128
Easy,1.98,128
End Of Romanticism,1.98,128
Esporrei Na Manivela,1.98,128
Esquinas,1.98,128
Everlasting Love,1.98,128
Falamansa Song,1.98,128
Fall On Me,1.98,128
Fear Of The Dark,1.98,128
Firmamento,1.98,128
Folhas Secas,1.98,128
For Whom The Bell Tolls,1.98,128
For Your Life,1.98,128
For the Greater Good of God,1.98,128
Gangland,1.98,128
Garden of Eden,1.98,128
Geni E O Zepelim,1.98,128
Get Up,1.98,128
Ghost Of The Navigator,1.98,128
Gimme Some Truth,1.98,128
Give Me Novacaine,1.98,128
Give Peace a Chance,1.98,128
Gyroscope,1.98,128
Hallelujah Here She Comes,1.98,128
Heaven Coming Down,1.98,128
Helpless,1.98,128
Hey America,1.98,128
Holiday,1.98,128
How Many More Times,1.98,128
I Believe,1.98,128
I Can't Explain,1.98,128
I'm Going Slightly Mad,1.98,128
I'm Gonna Crawl,1.98,128
Imagine,1.98,128
Immigrant Song,1.98,128
In The Evening,1.98,128
Inject The Venom,1.98,128
Intro,1.98,128
Is This Love (Live),1.98,128
J Squared,1.98,128
Judgement Of Heaven,1.98,128
Já Foi,1.98,128
King For A Day,1.98,128
L'Arc En Ciel De Miles,1.98,128
L'Avventura,1.98,128
Lamento De Carnaval,1.98,128
Last Cup Of Sorrow,1.98,128
Lay Down Sally,1.98,128
Layla,1.98,128
Leave My Girl Alone,1.98,128
Lemon Drop,1.98,128
Leper Messiah,1.98,128
Let Me Love You Baby,1.98,128
Light Years,1.98,128
Living Loving Maid (She's Just A Woman),1.98,128
Living On Love,1.98,128
Lixo Do Mangue,1.98,128
Lonely Stranger,1.98,128
Lugar Nenhum,1.98,128
"Mama, I'm Coming Home",1.98,128
Manguetown,1.98,128
Master Of Puppets,1.98,128
Maybe I'm A Leo,1.98,128
Meditação,1.98,128
Mel,1.98,128
Menestrel Das Alagoas,1.98,128
Menino De Rua,1.98,128
Mensagen De Amor (2000),1.98,128
Meu Caro Amigo,1.98,128
Meu Erro,1.98,128
Miami,1.98,128
Midlife Crisis,1.98,128
Midnight From The Inside Out,1.98,128
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),1.98,128
Moonchild,1.98,128
Morena De Angola,1.98,128
Motorbreath,1.98,128
Mr. Cab Driver,1.98,128
"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",1.98,128
Música No Ar,1.98,128
Nebulosa Do Amor,1.98,128
Nega Do Cabelo Duro,1.98,128
New Year's Day,1.98,128
Nice Guys Finish Last,1.98,128
No No No,1.98,128
No Quarter,1.98,128
Norwegian Wood,1.98,128
Nossa Gente (Avisa Là),1.98,128
Not The Doctor,1.98,128
Nothing Else Matters,1.98,128
Não Quero Dinheiro,1.98,128
O Pulso,1.98,128
Onde Anda Você,1.98,128
Onde Você Mora?,1.98,128
Overdose,1.98,128
Paint It Black,1.98,128
Peace On Earth,1.98,128
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),1.98,128
Perfect Crime,1.98,128
Phantom Lord,1.98,128
Piece Of Pie,1.98,128
Plot 180,1.98,128
Polly,1.98,128
Por Causa De Você,1.98,128
Powerslave,1.98,128
Pretty Noose,1.98,128
Pride (In The Name Of Love),1.98,128
Primavera,1.98,128
Promises,1.98,128
Prowler,1.98,128
Que Luz É Essa,1.98,128
Question!,1.98,128
Radio Song,1.98,128
Ramble On,1.98,128
Rappers Reais,1.98,128
Re-Align,1.98,128
Real Love,1.98,128
Red Light,1.98,128
Rehab,1.98,128
Revolta Olodum,1.98,128
Right On Time,1.98,128
Rock & Roll,1.98,128
Rock And Roll All Nite,1.98,128
Rocket Queen,1.98,128
Romance Ideal,1.98,128
Run Silent Run Deep,1.98,128
Run To The Hills,1.98,128
Saber Amar,1.98,128
Samba De Orly,1.98,128
Samba Do Lado,1.98,128
Sangue Latino,1.98,128
Saturnine,1.98,128
Save The Children,1.98,128
